Column1;Column2
desętъ;dziesiąty
devęsilъ;dziewięćsił
devętь;dziewięć
devętъ;dziewiąty
dědъ;dziad
děgati;dziagać
dělati;działać
děliti;dzielić
dělo;działo
dělъ;dział
děľa;dla
dětę;dziecię
děti;dziać
děva;dziewa
děverь;dziewierz
děvica;dziewica
děža;dzieża
dęgľь;dzięgiel
dęsna;dziąsło
dętelina;dzięcielina
dętelъ;dzięcioł
di;dzi
dikъ;dziki
diviti;dziwić
divizna;dziewanna
divьnъ;dziwny
divo;dziwo
divъ;dziw
diža;dziża
dьbrь;debrza
dьgna;dzięgna
dьgnǫti;dziagnąć
dьlbiti;dłubać
dьlgъ;długi
dьněti;dnieć
dьnь;dzień
dьnьsь;dziś
dьraka;draka
dьrati;drać
dьrgati;dziergać
dьrnǫti;dzierzgnąć
dьrnъ;darń
dьrvьňa;derewnia
dьrznǫti;darznąć
dьrzъkъ;dziarski
dьržati;dzierżyć
dьržava;dzierżawa
dlo;dło
do;do
doba;doba
dobrota;dobrota
dobrъ;dobry
dobyťa;zdobycz
dojiti;doić
dolina;dolina
dolnь;dłoń
dolto;dłuto
dolъ;dół
doľa;dola
domъ;dom
dorga;droga
dorgъ;drogi
dǫbrava;dąbrowa
dǫbъ;dąb
dǫga;dęga
dǫti;dąć
drabъ;drab
drapati;drapać
draska;draska
drazniti;drażnić
drevьnъ;drzewiej
drěmati;drzemać
drězga;drzazga
dręzga;drzęzg
dristati;drystać
drobězgъ;drobiazg
drobiti;drobić
drobь;drób
drobьnъ;drobny
dročiti;droczyć
drokъ;drok
drozdъ;drozd
droždža;drożdże
drǫčiti;dręczyć
drǫgъ;drąg
drugъ;drugi
družina;drużyna
družьba;drużba
drъgati;drgać
drъva;drwa
drъvo;drwo
drъžati;drżeć
drъžь;dreszcz
dubati;dziubać
duma;duma
dumati;dumać
dupa;dupa
dupina;dupina
duplo;dupło
dupľa;dziupla
dura;dziura
duriti;durzyć
durьnъ;durny
duša;dusza
dušiti;dusić
duti;duć
duxati;duchać
duxъ;duch
duxъna;duchna
dužь;duży
dъbati;dbać
dъlgъ;dług
dъlžьnъ;dłużny
dъmuxati;dmuchać
dъněprъ;dniepr
dъno;dno
dъska;deska
dъťi;córa
dъva;dwa
dъxnǫti;tchnąć
dъxorь;tchórz
dъxъ;dech
dъždžь;deszcz
dvigati;dźwigać
dvignǫti;dźwignąć
dvьrь;drzwi
dvorъ;dwór
dybati;dybać
dymъ;dym
dyňa;dynia
dyšati;dyszeć
dyxati;dychać
edinakъ;jedynak
edinъ;jeden
edlь;jodła
edlъka;jodełka
elenь;jeleń
emela;jemioła
esetь;jesieć
esetrъ;jesiotr
ešče;jeszcze
ezero;jezioro
eževъ;jeżowy
ežica;jeżyca
ežikъ;jeżyk
ežina;jeżyna
ežiti;jeżyć
ežь;eż
ežь;jeż
ědivo;jedziwo
ědlo;jadło
ědъ;jad
ědъkъ;jedki
ěnъ;iany
ěrina;jarzyna
ěrьcь;jarzec
ěsnъ;jasny
ěsti;jeść
ěstva;jastew
ěto;jato
ězda;jazda
ězditi;jeździć
ězъ;jaz
ę;ę
ęčati;jęczeć
ędro;jądro
ęga;jędza
ękati;jąkać
ęti;jąć
ętry;jątrew
ęzykъ;język
ga;ga
gabati;gabać
gadati;gadać
gadъ;gad
gajь;gaj
galiti;galić
galǫzь;gałąź
gasiti;gasić
gasnǫti;gasnąć
gatati;gatać
gatiti;gacić
gaťę;gacie
gavědь;gawiedź
gavornъ;gawron
gladiti;gładzić
gladъkъ;gładki
glazikъ;głazik
glazьnъ;głaźny
glazъ;głaz
glazъkъ;głazek
gleznъ;głozn
glěnь;glon
ględati;glądać
ględěti;ględzić
glina;glina
glistъ;glista
gliva;gliwa
glьjь;glej
globa;głoba
globiti;głobić
glogъ;głóg
glǫbina;głębina
glǫbokъ;głęboki
glumiti;głumić
glumъ;głum
glupavъ;głupawy
glupostь;głupość
glupъ;głupi
glušьcь;głuszec
gluxnǫti;głuchnąć
gluxъ;głuchy
glъtati;glutać
glъxnǫti;głuchnąć
gnesti;gnieść
gnědъ;gniady
gnětiti;niecić
gněvъ;gniew
gnězdo;gniazdo
gňida;gnida
gňilъ;gniły
gňiti;gnić
gnobiti;gnębić
gnojь;gnój
gnusiti;gnusić
gnusьnъ;gnuśny
gnusъ;gnus
godina;godzina
goditi;godzić
godьnъ;godny
godъ;god
gogolь;gągoł
gojiti;goić
goldьnъ;głodny
goldъ;głód
golěmъ;golemy
golěnь;goleń
golgolъ;głogoły
golota;gołota
golǫbь;gołąb
golǫbъ;gołębi
golsъ;głos
golъ;goły
golva;głowa
golvačь;głowacz
golvьňa;głownia
golvьnъ;główny
gomola;gomóła
goniti;gonić
gonъ;gon
gora;góra
gorazdъ;gorazdy
gorditi;grodzić
gordъ;gród
gorďa;grodza
gorďaninъ;grodzianin
gorďь;grodź
gorěti;gorzeć
gorьčica;gorczyca
gorьkъ;gorzki
gornostajь;gronostaj
gorxъ;groch
goře;gorze
gořьjь;gorszy
gospoda;gospoda
gospodařь;gospodarz
gospodь;gospód
gospoďa;gospodza
gosti;gościa
gostislavъ;gościsław
gostь;gość
gotovъ;gotowy
govьno;gówno
govoriti;gaworzyć
gǫba;gęba
gǫsь;gęś
gǫsli;gęśle
gǫstěti;gęścieć
gǫsti;gąść
gǫstъ;gęsty
gǫzъ;guz
grabiti;grabić
grabrъ;grab
gradъ;grad
grakati;grakać
grakъ;grak
granica;granica
granь;grań
greby;grzebień
greti;grzebać
grěšiti;grzeszyć
grěšьnъ;grzeszny
grěti;grzać
grěxъ;grzech
gręda;grzęda
gręznǫti;grzęznąć
gręzti;grząźć
gribъ;grzyb
griva;grzywa
grivьna;grzywna
grьměti;grzmieć
grobъ;grób
gromada;gromada
gromъ;grom
grotъ;grot
groxotъ;grochot
groza;groza
groziti;grozić
grozьnъ;groźny
grǫbъ;gruby
grǫdь;grędź
grǫziti;grążyć
grǫzъ;grąz
gruda;grąd
